,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.22236842105263158,352,496,42.581053495407104,101
1,200,0.22236842105263158,695,968,68.54295897483826,101
2,300,0.22236842105263158,1064,1458,87.75981855392456,101
3,400,0.22236842105263158,1432,1982,103.39143323898315,101
4,500,0.22236842105263158,1769,2464,113.38691902160645,101
5,600,0.22236842105263158,2112,2972,123.79249548912048,101
6,700,0.22236842105263158,2431,3434,131.34135389328003,101
7,800,0.22236842105263158,2787,3928,139.61491346359253,101
8,900,0.22236842105263158,3140,4404,144.22070002555847,101
9,1000,0.22236842105263158,3468,4864,149.3950798511505,101
10,1100,0.22236842105263158,3779,5328,152.70935225486755,101
11,1200,0.22236842105263158,4124,5804,156.1152799129486,101
12,1300,0.22236842105263158,4417,6280,158.8192994594574,101
13,1400,0.22236842105263158,4774,6794,160.7298126220703,101
14,1500,0.22236842105263158,5074,7262,162.8370599746704,101
