,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.25342105263157894,382,492,42.3325297832489,101
1,200,0.25342105263157894,687,960,61.59306526184082,101
2,300,0.25342105263157894,999,1404,81.56622219085693,101
3,400,0.25342105263157894,1306,1872,95.71496033668518,101
4,500,0.25342105263157894,1693,2396,107.8078773021698,101
5,600,0.25342105263157894,2055,2888,117.7781834602356,101
6,700,0.25342105263157894,2430,3388,125.13226866722107,101
7,800,0.25342105263157894,2765,3868,131.34247612953186,101
8,900,0.25342105263157894,3164,4356,135.67081260681152,101
9,1000,0.25342105263157894,3523,4840,140.04853868484497,101
10,1100,0.25342105263157894,3907,5336,143.49167823791504,101
11,1200,0.25342105263157894,4212,5798,146.34668850898743,101
12,1300,0.25342105263157894,4594,6299,148.47678661346436,101
13,1400,0.25342105263157894,4941,6791,150.5097393989563,101
14,1500,0.25342105263157894,5247,7265,151.9876811504364,101
