,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.05157894736842105,354,470,59.771156549453735,101
1,200,0.05157894736842105,581,864,89.90170121192932,101
2,300,0.05157894736842105,858,1264,117.4985773563385,101
3,400,0.05157894736842105,1102,1696,137.24702858924866,101
4,500,0.05157894736842105,1305,2122,157.6490228176117,101
5,600,0.05157894736842105,1537,2536,173.15740776062012,101
6,700,0.05157894736842105,1782,2948,186.20591640472412,101
7,800,0.05157894736842105,2037,3396,200.80271553993225,101
8,900,0.05157894736842105,2340,3854,212.26845574378967,101
9,1000,0.05157894736842105,2615,4280,222.55387234687805,101
10,1100,0.05157894736842105,2884,4690,230.90177536010742,101
11,1200,0.05157894736842105,3121,5130,238.04732060432434,101
12,1300,0.05157894736842105,3344,5558,244.67866826057434,101
13,1400,0.05157894736842105,3597,5976,250.31930565834045,101
14,1500,0.05157894736842105,3902,6440,256.30636525154114,101
