,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.7947368421052632,489,542,48.57282114028931,101
1,200,0.7947368421052632,967,1102,72.64595913887024,101
2,300,0.7947368421052632,1418,1652,91.51339602470398,101
3,400,0.7947368421052632,1898,2230,104.54009675979614,101
4,500,0.7947368421052632,2381,2798,114.90963339805603,101
5,600,0.7947368421052632,2821,3346,122.75632500648499,101
6,700,0.7947368421052632,3241,3882,129.73466897010803,101
7,800,0.7947368421052632,3677,4422,134.82242369651794,101
8,900,0.7947368421052632,4128,4980,138.25923705101013,101
9,1000,0.7947368421052632,4501,5532,140.83095574378967,101
