,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.7736842105263158,488,566,52.32386302947998,101
1,200,0.7736842105263158,960,1128,84.69173049926758,101
2,300,0.7736842105263158,1395,1684,104.10149621963501,101
3,400,0.7736842105263158,1827,2240,119.08141708374023,101
4,500,0.7736842105263158,2267,2780,130.51467561721802,101
5,600,0.7736842105263158,2692,3330,138.07364082336426,101
6,700,0.7736842105263158,3137,3882,143.8844232559204,101
7,800,0.7736842105263158,3588,4424,147.87711715698242,101
8,900,0.7736842105263158,3997,4964,151.52694582939148,101
9,1000,0.7736842105263158,4412,5491,154.307776927948,101
