,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.4,457,546,56.87427830696106,101
1,200,0.4,857,1068,87.30307340621948,101
2,300,0.4,1295,1590,102.96558094024658,101
3,400,0.4,1673,2106,115.31418204307556,101
4,500,0.4,2052,2602,130.85110688209534,101
5,600,0.4,2423,3114,140.360417842865,101
6,700,0.4,2785,3604,145.27582001686096,101
7,800,0.4,3183,4120,150.3809735774994,101
8,900,0.4,3563,4632,154.11738419532776,101
9,1000,0.4,3986,5158,156.9082305431366,101
10,1100,0.4,4349,5646,159.6171305179596,101
11,1200,0.4,4693,6188,161.54881024360657,101
12,1300,0.4,5051,6712,163.0028305053711,101
13,1400,0.4,5318,7185,163.9060995578766,101
14,1500,0.4,5603,7613,164.77731108665466,101
