,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.5421052631578948,451,520,64.04028820991516,101
1,200,0.5421052631578948,845,1050,95.64727830886841,101
2,300,0.5421052631578948,1227,1580,117.5776915550232,101
3,400,0.5421052631578948,1671,2098,134.52910351753235,101
4,500,0.5421052631578948,2063,2610,146.78709030151367,101
5,600,0.5421052631578948,2452,3134,159.78834795951843,101
6,700,0.5421052631578948,2857,3658,171.17632961273193,101
7,800,0.5421052631578948,3267,4196,179.0189664363861,101
8,900,0.5421052631578948,3682,4726,183.9824299812317,101
9,1000,0.5421052631578948,4112,5274,187.82158207893372,101
