,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.16026315789473683,375,470,42.28914666175842,101
1,200,0.16026315789473683,691,960,66.39498853683472,101
2,300,0.16026315789473683,1021,1444,83.649662733078,101
3,400,0.16026315789473683,1362,1932,99.53313970565796,101
4,500,0.16026315789473683,1654,2410,110.93387031555176,101
5,600,0.16026315789473683,1970,2864,122.09899950027466,101
6,700,0.16026315789473683,2307,3324,130.33640551567078,101
7,800,0.16026315789473683,2637,3780,137.57438731193542,101
8,900,0.16026315789473683,2908,4232,143.66569685935974,101
9,1000,0.16026315789473683,3231,4702,148.28297209739685,101
10,1100,0.16026315789473683,3571,5174,152.47409844398499,101
11,1200,0.16026315789473683,3910,5648,156.23234701156616,101
12,1300,0.16026315789473683,4209,6118,159.6426773071289,101
13,1400,0.16026315789473683,4551,6568,162.45277786254883,101
14,1500,0.16026315789473683,4857,7004,164.6615035533905,101
