,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.4263157894736842,445,550,53.98121190071106,101
1,200,0.4263157894736842,828,1064,85.91500115394592,101
2,300,0.4263157894736842,1252,1566,112.99979639053345,101
3,400,0.4263157894736842,1639,2090,128.86806869506836,101
4,500,0.4263157894736842,2010,2594,141.99279713630676,101
5,600,0.4263157894736842,2433,3116,151.24589490890503,101
6,700,0.4263157894736842,2827,3622,158.00910639762878,101
7,800,0.4263157894736842,3194,4125,165.0583372116089,101
8,900,0.4263157894736842,3555,4639,169.2942337989807,101
9,1000,0.4263157894736842,3964,5159,173.529066324234,101
10,1100,0.4263157894736842,4352,5670,176.8155598640442,101
11,1200,0.4263157894736842,4694,6141,178.97918677330017,101
12,1300,0.4263157894736842,5034,6621,180.65366291999817,101
13,1400,0.4263157894736842,5351,7096,182.26646304130554,101
14,1500,0.4263157894736842,5609,7540,183.25018453598022,101
