,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.5631578947368421,470,552,50.50643968582153,101
1,200,0.5631578947368421,929,1088,78.26216173171997,101
2,300,0.5631578947368421,1337,1608,98.68988132476807,101
3,400,0.5631578947368421,1788,2160,115.40248608589172,101
4,500,0.5631578947368421,2234,2720,126.44108653068542,101
5,600,0.5631578947368421,2642,3264,135.3710641860962,101
6,700,0.5631578947368421,3058,3808,141.91353225708008,101
7,800,0.5631578947368421,3460,4316,147.19324684143066,101
8,900,0.5631578947368421,3862,4860,151.7078514099121,101
9,1000,0.5631578947368421,4219,5356,154.40432000160217,101
