,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.11368421052631579,323,444,57.77461385726929,101
1,200,0.11368421052631579,635,898,87.82650208473206,101
2,300,0.11368421052631579,960,1386,110.14023113250732,101
3,400,0.11368421052631579,1256,1840,125.76352000236511,101
4,500,0.11368421052631579,1548,2284,141.5166721343994,101
5,600,0.11368421052631579,1855,2726,152.70664882659912,101
6,700,0.11368421052631579,2147,3166,163.64278554916382,101
7,800,0.11368421052631579,2450,3600,172.09814167022705,101
8,900,0.11368421052631579,2722,4046,179.3030424118042,101
9,1000,0.11368421052631579,3013,4546,187.15855050086975,101
10,1100,0.11368421052631579,3310,5007,191.40517830848694,101
11,1200,0.11368421052631579,3594,5448,196.00630974769592,101
12,1300,0.11368421052631579,3833,5867,199.73262405395508,101
13,1400,0.11368421052631579,4090,6286,202.857271194458,101
14,1500,0.11368421052631579,4319,6716,206.65692520141602,101
