,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.6684210526315789,454,556,57.54926252365112,101
1,200,0.6684210526315789,885,1104,87.3253562450409,101
2,300,0.6684210526315789,1296,1640,107.83602523803711,101
3,400,0.6684210526315789,1715,2182,127.36739349365234,101
4,500,0.6684210526315789,2139,2746,140.11371040344238,101
5,600,0.6684210526315789,2572,3294,148.5871980190277,101
6,700,0.6684210526315789,3033,3856,154.57469987869263,101
7,800,0.6684210526315789,3453,4394,158.7207329273224,101
8,900,0.6684210526315789,3881,4926,162.54881501197815,101
9,1000,0.6684210526315789,4281,5440,165.80844521522522,101
