,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.8157894736842105,468,574,54.15412187576294,101
1,200,0.8157894736842105,908,1114,86.54232025146484,101
2,300,0.8157894736842105,1325,1622,105.01013422012329,101
3,400,0.8157894736842105,1723,2158,121.21458220481873,101
4,500,0.8157894736842105,2162,2698,135.12991189956665,101
5,600,0.8157894736842105,2594,3238,146.34876799583435,101
6,700,0.8157894736842105,3078,3802,153.79586505889893,101
7,800,0.8157894736842105,3524,4355,158.73572826385498,101
8,900,0.8157894736842105,3920,4893,164.33018898963928,101
9,1000,0.8157894736842105,4298,5427,168.4568154811859,101
