,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.001,331,462,1688.157222032547,101
1,200,0.001,533,804,2461.4255254268646,101
2,300,0.001,708,1150,3120.216574907303,101
3,400,0.001,856,1418,3740.840943813324,101
4,500,0.001,1036,1686,4205.218238353729,101
5,600,0.001,1209,2022,4649.949274301529,101
6,700,0.001,1367,2318,4937.676241874695,101
7,800,0.001,1562,2648,5227.424442529678,101
8,900,0.001,1745,2972,5471.713183641434,101
9,1000,0.001,1871,3270,5695.662259817123,101
10,1100,0.001,2014,3578,5880.458060026169,101
11,1200,0.001,2190,3906,6077.539415359497,101
12,1300,0.001,2322,4200,6233.148512363434,101
13,1400,0.001,2482,4488,6411.208821058273,101
14,1500,0.001,2653,4782,6561.8714282512665,101
