,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.8578947368421053,461,558,51.57447648048401,101
1,200,0.8578947368421053,917,1102,79.01558899879456,101
2,300,0.8578947368421053,1343,1644,97.63598823547363,101
3,400,0.8578947368421053,1779,2182,111.69581270217896,101
4,500,0.8578947368421053,2204,2722,122.91287970542908,101
5,600,0.8578947368421053,2666,3278,129.8089952468872,101
6,700,0.8578947368421053,3098,3822,135.96772480010986,101
7,800,0.8578947368421053,3531,4346,141.3301546573639,101
8,900,0.8578947368421053,3969,4890,144.68157148361206,101
9,1000,0.8578947368421053,4358,5449,147.17970895767212,101
