,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.06710526315789474,342,450,57.90206265449524,101
1,200,0.06710526315789474,627,874,89.47929668426514,101
2,300,0.06710526315789474,886,1264,115.84225559234619,101
3,400,0.06710526315789474,1144,1670,138.05981183052063,101
4,500,0.06710526315789474,1390,2096,152.18313026428223,101
5,600,0.06710526315789474,1673,2514,166.4478108882904,101
6,700,0.06710526315789474,1929,2950,178.62994289398193,101
7,800,0.06710526315789474,2205,3380,188.52631282806396,101
8,900,0.06710526315789474,2434,3780,199.76100373268127,101
9,1000,0.06710526315789474,2747,4254,209.29024124145508,101
10,1100,0.06710526315789474,3017,4684,216.95259475708008,101
11,1200,0.06710526315789474,3251,5124,223.71616172790527,101
12,1300,0.06710526315789474,3484,5534,228.97091960906982,101
13,1400,0.06710526315789474,3782,5956,234.16648268699646,101
14,1500,0.06710526315789474,4067,6410,239.99115920066833,101
