,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.8789473684210527,486,568,55.95659518241882,101
1,200,0.8789473684210527,924,1122,83.73091220855713,101
2,300,0.8789473684210527,1393,1652,103.38338446617126,101
3,400,0.8789473684210527,1889,2218,118.40495896339417,101
4,500,0.8789473684210527,2408,2776,128.24911785125732,101
5,600,0.8789473684210527,2856,3334,135.1051104068756,101
6,700,0.8789473684210527,3295,3870,141.3446924686432,101
7,800,0.8789473684210527,3759,4432,145.90544414520264,101
8,900,0.8789473684210527,4175,4987,150.37584376335144,101
9,1000,0.8789473684210527,4581,5526,152.5852508544922,101
