,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.7105263157894737,481,556,57.302494287490845,101
1,200,0.7105263157894737,899,1114,84.95050549507141,101
2,300,0.7105263157894737,1294,1650,103.55255961418152,101
3,400,0.7105263157894737,1705,2170,120.924476146698,101
4,500,0.7105263157894737,2133,2704,133.7102177143097,101
5,600,0.7105263157894737,2570,3270,141.53997540473938,101
6,700,0.7105263157894737,3006,3802,148.51986527442932,101
7,800,0.7105263157894737,3418,4320,153.8572850227356,101
8,900,0.7105263157894737,3827,4852,157.99347972869873,101
9,1000,0.7105263157894737,4247,5379,161.60313034057617,101
