,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.09815789473684211,313,456,44.55281066894531,101
1,200,0.09815789473684211,582,874,72.54018497467041,101
2,300,0.09815789473684211,868,1290,95.31319570541382,101
3,400,0.09815789473684211,1154,1730,110.66667866706848,101
4,500,0.09815789473684211,1485,2216,125.21943020820618,101
5,600,0.09815789473684211,1723,2622,136.4928023815155,101
6,700,0.09815789473684211,2006,3060,145.63395142555237,101
7,800,0.09815789473684211,2290,3482,154.2615351676941,101
8,900,0.09815789473684211,2565,3908,162.44051051139832,101
9,1000,0.09815789473684211,2876,4392,169.29301142692566,101
10,1100,0.09815789473684211,3158,4874,174.56972312927246,101
11,1200,0.09815789473684211,3468,5350,179.30486464500427,101
12,1300,0.09815789473684211,3771,5800,182.80801701545715,101
13,1400,0.09815789473684211,4040,6208,186.13616633415222,101
14,1500,0.09815789473684211,4277,6674,189.07818603515625,101
