,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.6263157894736842,454,526,57.09244346618652,101
1,200,0.6263157894736842,885,1062,89.17153811454773,101
2,300,0.6263157894736842,1349,1610,111.89599132537842,101
3,400,0.6263157894736842,1777,2158,124.86093091964722,101
4,500,0.6263157894736842,2202,2702,135.79879927635193,101
5,600,0.6263157894736842,2649,3228,143.64447450637817,101
6,700,0.6263157894736842,3049,3738,150.14916825294495,101
7,800,0.6263157894736842,3454,4258,154.95706057548523,101
8,900,0.6263157894736842,3827,4780,158.49864315986633,101
9,1000,0.6263157894736842,4253,5314,161.05315589904785,101
