,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.2689473684210526,425,524,39.144495248794556,101
1,200,0.2689473684210526,792,1032,59.90988087654114,101
2,300,0.2689473684210526,1131,1534,79.73592758178711,101
3,400,0.2689473684210526,1499,2050,92.82581615447998,101
4,500,0.2689473684210526,1837,2538,104.1378710269928,101
5,600,0.2689473684210526,2223,3036,112.64677023887634,101
6,700,0.2689473684210526,2621,3566,118.91849136352539,101
7,800,0.2689473684210526,2988,4064,125.6187174320221,101
8,900,0.2689473684210526,3330,4532,130.49362516403198,101
9,1000,0.2689473684210526,3658,4996,134.2420575618744,101
10,1100,0.2689473684210526,4032,5484,137.58905243873596,101
11,1200,0.2689473684210526,4344,5962,140.63247895240784,101
12,1300,0.2689473684210526,4678,6464,142.31648063659668,101
13,1400,0.2689473684210526,5017,6938,143.9459924697876,101
14,1500,0.2689473684210526,5351,7413,145.4847605228424,101
