,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.8368421052631578,463,552,54.236268043518066,101
1,200,0.8368421052631578,922,1088,83.17425966262817,101
2,300,0.8368421052631578,1372,1642,101.37914109230042,101
3,400,0.8368421052631578,1810,2186,113.90352320671082,101
4,500,0.8368421052631578,2281,2732,126.38955664634705,101
5,600,0.8368421052631578,2740,3276,136.0137665271759,101
6,700,0.8368421052631578,3202,3850,140.76599836349487,101
7,800,0.8368421052631578,3630,4391,144.82110905647278,101
8,900,0.8368421052631578,4050,4926,148.56005930900574,101
9,1000,0.8368421052631578,4393,5398,150.9698567390442,101
