,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.6052631578947368,422,524,57.19422721862793,101
1,200,0.6052631578947368,880,1066,84.07974147796631,101
2,300,0.6052631578947368,1286,1628,102.20735311508179,101
3,400,0.6052631578947368,1711,2154,118.02302503585815,101
4,500,0.6052631578947368,2151,2688,135.0544822216034,101
5,600,0.6052631578947368,2565,3224,144.95632362365723,101
6,700,0.6052631578947368,2982,3760,151.57786464691162,101
7,800,0.6052631578947368,3387,4268,157.0455813407898,101
8,900,0.6052631578947368,3821,4798,161.81957173347473,101
9,1000,0.6052631578947368,4238,5336,164.8083302974701,101
