,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.17578947368421052,395,492,41.16962957382202,101
1,200,0.17578947368421052,718,964,65.71786642074585,101
2,300,0.17578947368421052,1036,1438,82.98992443084717,101
3,400,0.17578947368421052,1384,1934,97.5415027141571,101
4,500,0.17578947368421052,1698,2416,108.7495265007019,101
5,600,0.17578947368421052,2022,2862,119.0787284374237,101
6,700,0.17578947368421052,2347,3312,127.920729637146,101
7,800,0.17578947368421052,2686,3800,135.49036574363708,101
8,900,0.17578947368421052,2993,4286,141.56833291053772,101
9,1000,0.17578947368421052,3329,4772,146.0677616596222,101
10,1100,0.17578947368421052,3636,5248,151.12477731704712,101
11,1200,0.17578947368421052,3949,5728,156.00830674171448,101
12,1300,0.17578947368421052,4242,6187,159.12142062187195,101
13,1400,0.17578947368421052,4613,6703,162.08077216148376,101
14,1500,0.17578947368421052,4869,7169,164.38962650299072,101
