,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.08263157894736842,342,448,53.57226753234863,101
1,200,0.08263157894736842,613,876,86.55363321304321,101
2,300,0.08263157894736842,913,1298,110.40769410133362,101
3,400,0.08263157894736842,1214,1746,129.91155290603638,101
4,500,0.08263157894736842,1494,2164,143.53465723991394,101
5,600,0.08263157894736842,1756,2594,156.06500673294067,101
6,700,0.08263157894736842,2011,3040,170.06111907958984,101
7,800,0.08263157894736842,2259,3462,179.99218916893005,101
8,900,0.08263157894736842,2522,3896,187.98799228668213,101
9,1000,0.08263157894736842,2758,4282,197.9567747116089,101
10,1100,0.08263157894736842,3060,4694,203.6538326740265,101
11,1200,0.08263157894736842,3376,5156,209.69288802146912,101
12,1300,0.08263157894736842,3640,5604,215.67277026176453,101
13,1400,0.08263157894736842,3891,6025,220.20602107048035,101
14,1500,0.08263157894736842,4150,6454,225.07314586639404,101
