,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.12921052631578947,351,494,45.34151482582092,101
1,200,0.12921052631578947,683,994,68.59247469902039,101
2,300,0.12921052631578947,999,1454,90.9758095741272,101
3,400,0.12921052631578947,1317,1926,108.67477202415466,101
4,500,0.12921052631578947,1677,2408,124.20718741416931,101
5,600,0.12921052631578947,1932,2846,135.96700716018677,101
6,700,0.12921052631578947,2260,3332,146.62641024589539,101
7,800,0.12921052631578947,2584,3786,154.22606229782104,101
8,900,0.12921052631578947,2897,4274,160.25789427757263,101
9,1000,0.12921052631578947,3185,4714,166.43198418617249,101
10,1100,0.12921052631578947,3475,5182,171.32825136184692,101
11,1200,0.12921052631578947,3769,5628,175.15773940086365,101
12,1300,0.12921052631578947,4079,6096,178.5448977947235,101
13,1400,0.12921052631578947,4371,6538,181.25283288955688,101
14,1500,0.12921052631578947,4648,6956,184.0222053527832,101
