,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.5842105263157895,463,548,73.34567594528198,101
1,200,0.5842105263157895,851,1054,96.75586414337158,101
2,300,0.5842105263157895,1208,1552,120.15926027297974,101
3,400,0.5842105263157895,1678,2096,136.12328505516052,101
4,500,0.5842105263157895,2076,2628,148.06461691856384,101
5,600,0.5842105263157895,2560,3164,156.5560450553894,101
6,700,0.5842105263157895,3048,3720,164.1327259540558,101
7,800,0.5842105263157895,3465,4260,169.0437717437744,101
8,900,0.5842105263157895,3896,4790,174.23650002479553,101
9,1000,0.5842105263157895,4329,5318,178.0267834663391,101
