,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.7315789473684211,428,534,58.74867844581604,101
1,200,0.7315789473684211,888,1086,84.37063717842102,101
2,300,0.7315789473684211,1340,1644,104.74132990837097,101
3,400,0.7315789473684211,1776,2194,118.286705493927,101
4,500,0.7315789473684211,2219,2738,129.15956616401672,101
5,600,0.7315789473684211,2647,3268,138.41859412193298,101
6,700,0.7315789473684211,3061,3794,145.4664466381073,101
7,800,0.7315789473684211,3505,4352,150.25547289848328,101
8,900,0.7315789473684211,3941,4902,153.30390691757202,101
9,1000,0.7315789473684211,4364,5446,156.33556509017944,101
