,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.005,289,398,218.9438672065735,101
1,200,0.005,507,740,346.0379741191864,101
2,300,0.005,712,1070,433.2832100391388,101
3,400,0.005,949,1442,506.44050455093384,101
4,500,0.005,1139,1802,563.0664646625519,101
5,600,0.005,1272,2076,614.4161875247955,101
6,700,0.005,1430,2362,661.7821710109711,101
7,800,0.005,1596,2704,712.8092675209045,101
8,900,0.005,1739,2972,754.6857469081879,101
9,1000,0.005,1921,3250,794.6690318584442,101
10,1100,0.005,2120,3616,826.7362353801727,101
11,1200,0.005,2266,3956,862.3437421321869,101
12,1300,0.005,2418,4286,892.7585458755493,101
13,1400,0.005,2607,4608,927.2797012329102,101
14,1500,0.005,2762,4926,956.3291478157043,101
