,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.6473684210526316,460,534,56.3372585773468,101
1,200,0.6473684210526316,911,1072,84.91350626945496,101
2,300,0.6473684210526316,1362,1622,101.45688915252686,101
3,400,0.6473684210526316,1775,2150,114.70523738861084,101
4,500,0.6473684210526316,2180,2686,125.99810099601746,101
5,600,0.6473684210526316,2601,3214,133.0339195728302,101
6,700,0.6473684210526316,3026,3720,139.26195120811462,101
7,800,0.6473684210526316,3468,4274,143.6396188735962,101
8,900,0.6473684210526316,3890,4836,148.44685220718384,101
9,1000,0.6473684210526316,4303,5384,151.53749299049377,101
