,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.7526315789473684,493,566,49.69437623023987,101
1,200,0.7526315789473684,917,1108,76.69541597366333,101
2,300,0.7526315789473684,1354,1646,102.30987191200256,101
3,400,0.7526315789473684,1844,2196,116.65015196800232,101
4,500,0.7526315789473684,2312,2748,127.55522751808167,101
5,600,0.7526315789473684,2724,3282,135.80175232887268,101
6,700,0.7526315789473684,3201,3832,141.58905577659607,101
7,800,0.7526315789473684,3658,4402,145.821790933609,101
8,900,0.7526315789473684,4056,4908,149.92987036705017,101
9,1000,0.7526315789473684,4464,5436,152.80289697647095,101
