,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.5210526315789473,439,538,53.59253668785095,101
1,200,0.5210526315789473,858,1080,83.05546355247498,101
2,300,0.5210526315789473,1244,1598,103.42743682861328,101
3,400,0.5210526315789473,1668,2154,117.36915445327759,101
4,500,0.5210526315789473,2079,2694,126.86843490600586,101
5,600,0.5210526315789473,2483,3220,134.5617334842682,101
6,700,0.5210526315789473,2888,3740,140.81758403778076,101
7,800,0.5210526315789473,3313,4282,145.93905210494995,101
8,900,0.5210526315789473,3701,4804,149.8101828098297,101
9,1000,0.5210526315789473,4103,5327,153.03859758377075,101
