,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.14473684210526316,377,508,42.15309762954712,101
1,200,0.14473684210526316,700,962,65.75498461723328,101
2,300,0.14473684210526316,1018,1430,87.48977041244507,101
3,400,0.14473684210526316,1357,1944,103.14025211334229,101
4,500,0.14473684210526316,1662,2432,113.44550681114197,101
5,600,0.14473684210526316,1957,2892,123.48508048057556,101
6,700,0.14473684210526316,2258,3346,131.7878017425537,101
7,800,0.14473684210526316,2574,3792,139.4960105419159,101
8,900,0.14473684210526316,2905,4244,145.21063089370728,101
9,1000,0.14473684210526316,3217,4658,150.08751153945923,101
10,1100,0.14473684210526316,3479,5058,155.04148530960083,101
11,1200,0.14473684210526316,3797,5567,158.93934106826782,101
12,1300,0.14473684210526316,4047,6011,161.75109338760376,101
13,1400,0.14473684210526316,4329,6446,164.08888125419617,101
14,1500,0.14473684210526316,4610,6869,166.01711177825928,101
