,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.6894736842105263,455,544,47.59841799736023,101
1,200,0.6894736842105263,899,1104,77.98317837715149,101
2,300,0.6894736842105263,1349,1642,98.60027933120728,101
3,400,0.6894736842105263,1771,2176,111.42295503616333,101
4,500,0.6894736842105263,2202,2704,121.59406161308289,101
5,600,0.6894736842105263,2625,3248,129.7082781791687,101
6,700,0.6894736842105263,3028,3772,135.4534351825714,101
7,800,0.6894736842105263,3471,4316,139.90918922424316,101
8,900,0.6894736842105263,3890,4858,143.48299932479858,101
9,1000,0.6894736842105263,4334,5409,145.5928087234497,101
