,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.20684210526315788,408,496,43.404932737350464,101
1,200,0.20684210526315788,749,998,67.33791732788086,101
2,300,0.20684210526315788,1098,1462,84.62664937973022,101
3,400,0.20684210526315788,1429,1950,98.61109805107117,101
4,500,0.20684210526315788,1824,2448,108.50705790519714,101
5,600,0.20684210526315788,2127,2934,117.632728099823,101
6,700,0.20684210526315788,2462,3380,124.13688778877258,101
7,800,0.20684210526315788,2814,3878,129.96329808235168,101
8,900,0.20684210526315788,3166,4374,134.84582710266113,101
9,1000,0.20684210526315788,3485,4837,138.78406023979187,101
10,1100,0.20684210526315788,3818,5298,142.1544463634491,101
11,1200,0.20684210526315788,4130,5746,144.51680040359497,101
12,1300,0.20684210526315788,4422,6219,146.71724653244019,101
13,1400,0.20684210526315788,4690,6672,148.71843695640564,101
14,1500,0.20684210526315788,4965,7083,150.62715768814087,101
