,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.036052631578947364,344,414,84.29737091064453,101
1,200,0.036052631578947364,587,832,116.81575679779053,101
2,300,0.036052631578947364,890,1254,147.0422031879425,101
3,400,0.036052631578947364,1093,1646,173.05552005767822,101
4,500,0.036052631578947364,1365,2078,193.09712266921997,101
5,600,0.036052631578947364,1607,2426,209.40929985046387,101
6,700,0.036052631578947364,1835,2820,226.13155484199524,101
7,800,0.036052631578947364,2034,3190,237.98993921279907,101
8,900,0.036052631578947364,2277,3566,250.55248928070068,101
9,1000,0.036052631578947364,2496,3936,261.4803705215454,101
10,1100,0.036052631578947364,2716,4328,272.15082359313965,101
11,1200,0.036052631578947364,2964,4736,280.0996630191803,101
12,1300,0.036052631578947364,3222,5156,286.07619071006775,101
13,1400,0.036052631578947364,3463,5574,292.9173321723938,101
14,1500,0.036052631578947364,3671,5968,299.9496695995331,101
