,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.45263157894736844,478,562,67.19424200057983,101
1,200,0.45263157894736844,882,1080,98.71980619430542,101
2,300,0.45263157894736844,1283,1596,118.37781476974487,101
3,400,0.45263157894736844,1682,2112,134.2115399837494,101
4,500,0.45263157894736844,2110,2646,149.03875398635864,101
5,600,0.45263157894736844,2541,3178,158.5717694759369,101
6,700,0.45263157894736844,2925,3708,166.20459055900574,101
7,800,0.45263157894736844,3364,4234,171.31399202346802,101
8,900,0.45263157894736844,3760,4766,174.70825028419495,101
9,1000,0.45263157894736844,4097,5286,178.3628671169281,101
10,1100,0.45263157894736844,4474,5785,181.0622787475586,101
11,1200,0.45263157894736844,4790,6278,183.261860370636,101
12,1300,0.45263157894736844,5081,6746,185.023211479187,101
13,1400,0.45263157894736844,5336,7177,186.32741904258728,101
14,1500,0.45263157894736844,5632,7624,187.25414156913757,101
