,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.19131578947368422,374,488,44.34141802787781,101
1,200,0.19131578947368422,714,964,70.94308614730835,101
2,300,0.19131578947368422,1061,1448,87.27572441101074,101
3,400,0.19131578947368422,1412,1942,100.17427682876587,101
4,500,0.19131578947368422,1792,2450,110.92933440208435,101
5,600,0.19131578947368422,2118,2922,120.82656240463257,101
6,700,0.19131578947368422,2424,3382,128.6053237915039,101
7,800,0.19131578947368422,2752,3848,136.07396626472473,101
8,900,0.19131578947368422,3074,4338,141.3430449962616,101
9,1000,0.19131578947368422,3406,4816,145.19697499275208,101
10,1100,0.19131578947368422,3745,5272,148.6922047138214,101
11,1200,0.19131578947368422,4062,5730,151.57499194145203,101
12,1300,0.19131578947368422,4442,6232,154.03743600845337,101
13,1400,0.19131578947368422,4700,6654,155.82076263427734,101
14,1500,0.19131578947368422,4922,7089,157.39596819877625,101
