,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.23789473684210524,415,502,51.458476543426514,101
1,200,0.23789473684210524,737,978,75.78771758079529,101
2,300,0.23789473684210524,1071,1464,92.34522581100464,101
3,400,0.23789473684210524,1416,1976,107.22528576850891,101
4,500,0.23789473684210524,1769,2474,118.4731125831604,101
5,600,0.23789473684210524,2107,2974,127.23193407058716,101
6,700,0.23789473684210524,2463,3466,134.9223654270172,101
7,800,0.23789473684210524,2846,3988,139.47401094436646,101
8,900,0.23789473684210524,3196,4450,143.92077732086182,101
9,1000,0.23789473684210524,3521,4936,147.93644261360168,101
10,1100,0.23789473684210524,3882,5410,151.11678075790405,101
11,1200,0.23789473684210524,4191,5910,153.7112901210785,101
12,1300,0.23789473684210524,4504,6379,156.23959493637085,101
13,1400,0.23789473684210524,4810,6823,157.85605239868164,101
14,1500,0.23789473684210524,5132,7314,159.3921811580658,101
