S.NO,N,k,edge,zeros_around,time_sec,square_matrix_size,edge/N,zeros_around/N
443,300,0.731578947,1340,1644,104.7413299,101,4.466666667,5.48
444,400,0.731578947,1776,2194,118.2867055,101,4.44,5.485
445,500,0.731578947,2219,2738,129.1595662,101,4.438,5.476
446,600,0.731578947,2647,3268,138.4185941,101,4.411666667,5.446666667
447,700,0.731578947,3061,3794,145.4664466,101,4.372857143,5.42
448,800,0.731578947,3505,4352,150.2554729,101,4.38125,5.44
449,900,0.731578947,3941,4902,153.3039069,101,4.378888889,5.446666667
450,1000,0.731578947,4364,5446,156.3355651,101,4.364,5.446
451,100,0.752631579,493,566,49.69437623,101,4.93,5.66
452,200,0.752631579,917,1108,76.69541597,101,4.585,5.54
453,300,0.752631579,1354,1646,102.3098719,101,4.513333333,5.486666667
454,400,0.752631579,1844,2196,116.650152,101,4.61,5.49
455,500,0.752631579,2312,2748,127.5552275,101,4.624,5.496
456,600,0.752631579,2724,3282,135.8017523,101,4.54,5.47
457,700,0.752631579,3201,3832,141.5890558,101,4.572857143,5.474285714
458,800,0.752631579,3658,4402,145.8217909,101,4.5725,5.5025
459,900,0.752631579,4056,4908,149.9298704,101,4.506666667,5.453333333
460,1000,0.752631579,4464,5436,152.802897,101,4.464,5.436
461,100,0.773684211,488,566,52.32386303,101,4.88,5.66
462,200,0.773684211,960,1128,84.6917305,101,4.8,5.64
463,300,0.773684211,1395,1684,104.1014962,101,4.65,5.613333333
464,400,0.773684211,1827,2240,119.0814171,101,4.5675,5.6
465,500,0.773684211,2267,2780,130.5146756,101,4.534,5.56
466,600,0.773684211,2692,3330,138.0736408,101,4.486666667,5.55
467,700,0.773684211,3137,3882,143.8844233,101,4.481428571,5.545714286
468,800,0.773684211,3588,4424,147.8771172,101,4.485,5.53
469,900,0.773684211,3997,4964,151.5269458,101,4.441111111,5.515555556
470,1000,0.773684211,4412,5491,154.3077769,101,4.412,5.491
471,100,0.794736842,489,542,48.57282114,101,4.89,5.42
472,200,0.794736842,967,1102,72.64595914,101,4.835,5.51
473,300,0.794736842,1418,1652,91.51339602,101,4.726666667,5.506666667
474,400,0.794736842,1898,2230,104.5400968,101,4.745,5.575
475,500,0.794736842,2381,2798,114.9096334,101,4.762,5.596
476,600,0.794736842,2821,3346,122.756325,101,4.701666667,5.576666667
477,700,0.794736842,3241,3882,129.734669,101,4.63,5.545714286
478,800,0.794736842,3677,4422,134.8224237,101,4.59625,5.5275
479,900,0.794736842,4128,4980,138.2592371,101,4.586666667,5.533333333
480,1000,0.794736842,4501,5532,140.8309557,101,4.501,5.532
481,100,0.815789474,468,574,54.15412188,101,4.68,5.74
482,200,0.815789474,908,1114,86.54232025,101,4.54,5.57
483,300,0.815789474,1325,1622,105.0101342,101,4.416666667,5.406666667
484,400,0.815789474,1723,2158,121.2145822,101,4.3075,5.395
485,500,0.815789474,2162,2698,135.1299119,101,4.324,5.396
486,600,0.815789474,2594,3238,146.348768,101,4.323333333,5.396666667
487,700,0.815789474,3078,3802,153.7958651,101,4.397142857,5.431428571
488,800,0.815789474,3524,4355,158.7357283,101,4.405,5.44375
489,900,0.815789474,3920,4893,164.330189,101,4.355555556,5.436666667
490,1000,0.815789474,4298,5427,168.4568155,101,4.298,5.427
491,100,0.836842105,463,552,54.23626804,101,4.63,5.52
492,200,0.836842105,922,1088,83.17425966,101,4.61,5.44
493,300,0.836842105,1372,1642,101.3791411,101,4.573333333,5.473333333
494,400,0.836842105,1810,2186,113.9035232,101,4.525,5.465
495,500,0.836842105,2281,2732,126.3895566,101,4.562,5.464
496,600,0.836842105,2740,3276,136.0137665,101,4.566666667,5.46
497,700,0.836842105,3202,3850,140.7659984,101,4.574285714,5.5
498,800,0.836842105,3630,4391,144.8211091,101,4.5375,5.48875
499,900,0.836842105,4050,4926,148.5600593,101,4.5,5.473333333
500,1000,0.836842105,4393,5398,150.9698567,101,4.393,5.398
501,100,0.857894737,461,558,51.57447648,101,4.61,5.58
502,200,0.857894737,917,1102,79.015589,101,4.585,5.51
503,300,0.857894737,1343,1644,97.63598824,101,4.476666667,5.48
504,400,0.857894737,1779,2182,111.6958127,101,4.4475,5.455
505,500,0.857894737,2204,2722,122.9128797,101,4.408,5.444
506,600,0.857894737,2666,3278,129.8089952,101,4.443333333,5.463333333
507,700,0.857894737,3098,3822,135.9677248,101,4.425714286,5.46
508,800,0.857894737,3531,4346,141.3301547,101,4.41375,5.4325
509,900,0.857894737,3969,4890,144.6815715,101,4.41,5.433333333
510,1000,0.857894737,4358,5449,147.179709,101,4.358,5.449
511,100,0.878947368,486,568,55.95659518,101,4.86,5.68
512,200,0.878947368,924,1122,83.73091221,101,4.62,5.61
513,300,0.878947368,1393,1652,103.3833845,101,4.643333333,5.506666667
514,400,0.878947368,1889,2218,118.404959,101,4.7225,5.545
515,500,0.878947368,2408,2776,128.2491179,101,4.816,5.552
516,600,0.878947368,2856,3334,135.1051104,101,4.76,5.556666667
517,700,0.878947368,3295,3870,141.3446925,101,4.707142857,5.528571429
518,800,0.878947368,3759,4432,145.9054441,101,4.69875,5.54
519,900,0.878947368,4175,4987,150.3758438,101,4.638888889,5.541111111
520,1000,0.878947368,4581,5526,152.5852509,101,4.581,5.526
521,100,0.9,503,560,54.8773942,101,5.03,5.6
522,200,0.9,936,1116,82.6050272,101,4.68,5.58
523,300,0.9,1382,1668,101.6318436,101,4.606666667,5.56
524,400,0.9,1884,2222,117.0686679,101,4.71,5.555
525,500,0.9,2342,2786,126.4216278,101,4.684,5.572
526,600,0.9,2771,3336,131.5994484,101,4.618333333,5.56
527,700,0.9,3196,3876,136.8843069,101,4.565714286,5.537142857
528,800,0.9,3633,4425,140.2021976,101,4.54125,5.53125
529,900,0.9,4082,4977,142.502774,101,4.535555556,5.53
530,1000,0.9,4469,5505,144.1381643,101,4.469,5.505
